Subject,Run,Factor 1,Factor 2
sub-010194,post-ses-02-run-02-acq-AP,0.8234071099913038,0.3320933611942604
sub-010194,post-ses-02-run-02-acq-PA,0.8274886496704,0.20867750266695392
sub-010198,post-ses-02-run-02-acq-AP,0.8136291525091347,0.06687681189566891
sub-010200,post-ses-02-run-01-acq-AP,0.826491438878193,0.34804969032823463
sub-010200,post-ses-02-run-01-acq-PA,0.7112150002243164,0.44080720637920184
sub-010201,post-ses-02-run-01-acq-AP,0.40390247763922754,0.4078594009128663
sub-010201,post-ses-02-run-01-acq-PA,0.7042837388659873,0.016058734822108442
sub-010203,post-ses-02-run-01-acq-AP,0.7361790963616103,0.334908490332289
sub-010203,post-ses-02-run-01-acq-PA,0.7246724633500652,0.28422879753458336
sub-010203,post-ses-02-run-02-acq-AP,0.7827834926458677,0.2895510389009361
sub-010203,post-ses-02-run-02-acq-PA,0.7260415756491916,0.22974572094770135
sub-010204,post-ses-02-run-01-acq-AP,0.5248201491591553,0.4512466398851562
sub-010204,post-ses-02-run-01-acq-PA,0.5358107582409148,0.34063063238357594
sub-010204,post-ses-02-run-02-acq-AP,0.686384359964414,0.18630079475967362
sub-010204,post-ses-02-run-02-acq-PA,0.6574265886384769,0.18107840010644408
sub-010206,post-ses-02-run-01-acq-AP,0.6210297523135005,0.0
sub-010206,post-ses-02-run-01-acq-PA,0.627965841695145,0.0
sub-010206,post-ses-02-run-02-acq-AP,0.506183218663818,0.11692585017496236
sub-010206,post-ses-02-run-02-acq-PA,0.5708563251317766,0.14345379139858766
sub-010208,post-ses-02-run-01-acq-AP,0.8105280624769879,0.0
sub-010208,post-ses-02-run-01-acq-PA,0.8642693806167914,0.0809283575253764
sub-010208,post-ses-02-run-02-acq-AP,0.8066705960656461,0.3359496185651123
sub-010208,post-ses-02-run-02-acq-PA,0.7405943089534108,0.23163504428985363
sub-010209,post-ses-02-run-01-acq-AP,0.5667105171589722,0.5063935755098131
sub-010209,post-ses-02-run-01-acq-PA,0.6380839560458641,0.35633505598020826
sub-010209,post-ses-02-run-02-acq-AP,0.3558543739268555,0.5226762232048445
sub-010209,post-ses-02-run-02-acq-PA,0.5012172093446939,0.44196292978084933
sub-010210,post-ses-02-run-01-acq-AP,0.39331683928686434,0.5126763177420048
sub-010210,post-ses-02-run-01-acq-PA,0.44567319849520154,0.42508009600412455
sub-010210,post-ses-02-run-02-acq-AP,0.519245476115045,0.6987045774219129
sub-010210,post-ses-02-run-02-acq-PA,0.5054813286208328,0.5382769235497827
sub-010211,post-ses-02-run-01-acq-AP,0.31918780499506183,0.47989485054097236
sub-010211,post-ses-02-run-01-acq-PA,0.34470292257827007,0.6985225544885669
sub-010211,post-ses-02-run-02-acq-AP,0.033358824820865635,0.6404938332362642
sub-010211,post-ses-02-run-02-acq-PA,0.15805948353416943,0.5354135768083972
sub-010212,post-ses-02-run-01-acq-PA,0.9465286800137582,0.152749650394092
sub-010212,post-ses-02-run-02-acq-PA,0.9463359270874483,0.2729977297287548
sub-010213,post-ses-02-run-01-acq-AP,0.6648647724365215,0.4581232123330235
sub-010213,post-ses-02-run-01-acq-PA,0.532915194228248,0.452173646106575
sub-010213,post-ses-02-run-02-acq-AP,0.625181930946903,0.6781336084348126
sub-010213,post-ses-02-run-02-acq-PA,0.643542745197529,0.3776488736300316
sub-010214,post-ses-02-run-01-acq-AP,0.4051906514296874,0.2806079667498012
sub-010214,post-ses-02-run-01-acq-PA,0.5927850339603525,0.09865386975964674
sub-010214,post-ses-02-run-02-acq-AP,0.5387472641405303,0.09850410223777037
sub-010214,post-ses-02-run-02-acq-PA,0.49456325826905984,0.33560993173591996
sub-010216,post-ses-02-run-01-acq-AP,0.6115414646944801,0.47480061655220035
sub-010216,post-ses-02-run-01-acq-PA,0.4229710161363652,0.5308776991157802
sub-010216,post-ses-02-run-02-acq-AP,0.6198052085092155,0.15999993975669896
sub-010216,post-ses-02-run-02-acq-PA,0.6120983655896326,0.2919412083154022
sub-010218,post-ses-02-run-01-acq-AP,0.4790180397298865,0.507345296316949
sub-010218,post-ses-02-run-01-acq-PA,0.4893834795851157,0.46433934931827375
sub-010218,post-ses-02-run-02-acq-AP,0.582842299183348,0.4060142534218276
sub-010218,post-ses-02-run-02-acq-PA,0.4341854642545032,0.3414767211591911
sub-010220,post-ses-02-run-01-acq-AP,0.7216276443485079,0.48025540906971
sub-010220,post-ses-02-run-01-acq-PA,0.39480496461255243,0.38081410974801744
sub-010220,post-ses-02-run-02-acq-AP,0.42180468121346554,0.24398906998386344
sub-010220,post-ses-02-run-02-acq-PA,0.8918796605750909,0.012988265739445849
sub-010221,post-ses-02-run-01-acq-AP,0.3466075034744755,0.9548292118230653
sub-010221,post-ses-02-run-01-acq-PA,0.6072873908254558,0.7298465894303896
sub-010221,post-ses-02-run-02-acq-AP,0.2514466821261722,0.8222097751293398
sub-010221,post-ses-02-run-02-acq-PA,0.2660738040300281,0.5732611168160734
sub-010224,post-ses-02-run-01-acq-AP,0.77844644785162,0.08214313779465471
sub-010224,post-ses-02-run-01-acq-PA,0.7590675727912713,0.3323756162651442
